,Source,Sink,Label
365,135,3648164,1
470,177,4651182,1
893,873,2180497,1
1676,877,1505989,1
1900,877,1916061,1
1955,877,2037672,1
2441,877,2990794,1
2546,877,3187322,1
2733,877,3559895,1
3019,877,4108715,1
4582,1538,2897085,1
4823,1681,1766320,1
4902,1817,213185,1
6396,1875,105414,1
7384,1875,183340,1
7491,1875,192393,1
7507,1875,194045,1
7872,1875,224891,1
7974,1875,233162,1
8645,1875,286916,1
8746,1875,295889,1
10314,1875,421481,1
10990,1875,478105,1
11630,1875,527914,1
12833,1875,621808,1
13298,1875,664218,1
15429,1875,839163,1
15589,1875,851846,1
15764,1875,863792,1
16063,1875,887344,1
17754,1875,1019987,1
17941,1875,1036572,1
17980,1875,1039763,1
18863,1875,1114148,1
18873,1875,1114725,1
20243,1875,1225988,1
20298,1875,1230343,1
20362,1875,1234832,1
20682,1875,1261007,1
20709,1875,1262418,1
22080,1875,1368714,1
22615,1875,1410314,1
24100,1875,1524488,1
24318,1875,1540296,1
24510,1875,1555735,1
24858,1875,1580474,1
25213,1875,1607938,1
26088,1875,1675093,1
27581,1875,1792091,1
27841,1875,1811005,1
27920,1875,1817987,1
28038,1875,1827946,1
29000,1875,1907270,1
29930,1875,1982905,1
30043,1875,1991464,1
30515,1875,2026666,1
30758,1875,2046119,1
31334,1875,2093237,1
31966,1875,2143008,1
32324,1875,2171588,1
32512,1875,2185424,1
32588,1875,2191542,1
32912,1875,2215796,1
32935,1875,2217798,1
33237,1875,2241558,1
33766,1875,2282839,1
34953,1875,2379538,1
35404,1875,2413798,1
35738,1875,2440133,1
35952,1875,2455258,1
37394,1875,2570917,1
37677,1875,2594037,1
37970,1875,2616765,1
38620,1875,2665560,1
39015,1875,2697250,1
39087,1875,2702037,1
39771,1875,2754523,1
39886,1875,2763136,1
41522,1875,2892965,1
41627,1875,2900992,1
41904,1875,2923056,1
42005,1875,2931042,1
42255,1875,2952599,1
42535,1875,2974717,1
42566,1875,2977356,1
42747,1875,2991050,1
43134,1875,3020972,1
43699,1875,3066288,1
44318,1875,3113204,1
45706,1875,3224520,1
45728,1875,3226123,1
45820,1875,3232820,1
45879,1875,3237294,1
46526,1875,3288751,1
47900,1875,3400023,1
48194,1875,3420434,1
48363,1875,3433070,1
48974,1875,3483786,1
49216,1875,3502036,1
49608,1875,3530558,1
49699,1875,3537289,1
50310,1875,3588489,1
50609,1875,3612865,1
51488,1875,3679507,1
52000,1875,3720030,1
52262,1875,3742114,1
52787,1875,3780857,1
53665,1875,3853509,1
56352,1875,4071836,1
57281,1875,4149834,1
59572,1875,4333094,1
59873,1875,4356212,1
60611,1875,4415081,1
60625,1875,4415793,1
60766,1875,4425261,1
61661,1875,4494257,1
62088,1875,4524678,1
62315,1875,4544945,1
62803,1875,4584727,1
63258,1875,4621865,1
63968,1875,4679405,1
67057,3333,1457167,1
67682,3774,4243472,1
68076,4201,99694,1
68171,4201,350397,1
68263,4201,564249,1
68574,4201,1328066,1
72038,4922,818265,1
72998,4922,1643404,1
73261,4922,1840329,1
73288,4922,1860362,1
73638,4922,2135748,1
74072,4922,2494423,1
74904,4922,3167682,1
75277,4922,3497647,1
76818,4922,4744645,1
77570,5885,3302655,1
78868,6618,34586,1
79342,6618,70831,1
79360,6618,72027,1
80223,6618,130965,1
80724,6618,164961,1
81451,6618,217817,1
81927,6618,248183,1
81974,6618,250754,1
82056,6618,256556,1
82537,6618,291837,1
82715,6618,305356,1
83543,6618,363297,1
83573,6618,366000,1
85226,6618,478566,1
85478,6618,497872,1
87295,6618,628105,1
87819,6618,668328,1
87822,6618,668602,1
88752,6618,733860,1
89237,6618,766837,1
89755,6618,803909,1
90140,6618,831075,1
90361,6618,848235,1
90665,6618,869158,1
90921,6618,887570,1
91087,6618,899866,1
92029,6618,966536,1
92497,6618,1001858,1
93478,6618,1071397,1
93486,6618,1072063,1
93660,6618,1083685,1
93824,6618,1094401,1
94378,6618,1131825,1
95360,6618,1203446,1
95677,6618,1227575,1
96798,6618,1305687,1
97193,6618,1330805,1
97295,6618,1338044,1
97758,6618,1371251,1
98275,6618,1407200,1
98877,6618,1449540,1
99790,6618,1514778,1
100287,6618,1550824,1
100469,6618,1563716,1
100737,6618,1581812,1
101191,6618,1613291,1
101362,6618,1625434,1
101969,6618,1670378,1
102065,6618,1677136,1
102167,6618,1684990,1
102651,6618,1722771,1
102775,6618,1733058,1
102889,6618,1741659,1
103659,6618,1796473,1
103864,6618,1810709,1
104460,6618,1855364,1
104779,6618,1877650,1
105397,6618,1921688,1
106108,6618,1969053,1
106481,6618,1994685,1
107220,6618,2045952,1
107735,6618,2083353,1
108373,6618,2127837,1
108671,6618,2148170,1
108854,6618,2160337,1
