,sink_pre_siz,source_suc_siz,pre_pre_cos,suc_pre_cos,uhi,Common_Follower,Common_Following_With_Sink_Followers,Common_follower_with_source_followings,Resource_allocation_index,Within_inter_cluster,Label
0,40,84,0.09877296,0.050818268,0.083789711,2,7.170731707,3.458823529,0.003490959,0,1
1,207,66,0.177393719,0.076238342,0.138042476,12,4.418269231,13.71641791,1.758981491,0,1
2,13,45,0.14773421,0.118216561,0.228918133,11,14.28571429,4.347826087,0.026565925,0,1
3,274,2454,0.39795106,0.131441244,0.230190931,106,557.0436364,62.39796334,0.019964757,0,1
4,109,2454,0.302735939,0.098140459,0.227365878,51,819.7909091,36.73197556,0.001553685,4.666148206,1
5,401,2454,0.263934429,0.084555237,0.240313767,85,497,81.38248473,0.004488658,3.04747393,1
6,350,2454,0.282459063,0.093721654,0.259705921,85,569.6153846,81.43991853,0.004866506,4.499718768,1
7,22,2454,0.038944621,0.012625006,0.08829787,3,553.4347826,5.184928717,5.88E-05,3000,1
8,273,2454,0.274560291,0.089006522,0.246735756,73,598.4963504,66.79755601,0.004203339,3.624773452,1
9,631,2454,0.106487851,0.046563295,0.056832892,43,92.53481013,23.82158859,0.276180905,0,1
10,117,433,0.184289192,0.066283494,0.097965428,23,44.57627119,12.11981567,0.013992456,10.49475262,1
11,40,120,0.125291564,0.028395229,0.112370801,11,22.17073171,7.512396694,0.003610454,0,1
12,21,108,0.383761289,0.12252555,0.181677416,9,15.27272727,3.082568807,0.365879712,18000,1
13,200,61387,0.250605988,0.026760122,0.102822989,91,3266.049751,10.69388154,8.704265007,5.473643055,1
14,125,61387,0.177391573,0.019056751,0.133799991,51,5337.619048,10.95556135,0.00334608,0,1
15,169,61387,0.380300889,0.039313121,0.233091442,127,8565.452941,23.72005929,0.007984613,3.99984616,1
16,4,61387,0.034921515,0.003609967,0.129792798,2,3172.8,0.258421841,0.000140389,0,1
17,1,61387,0,0,0.178676651,0,2102,0.06848244,0,0,1
18,57,61387,0.205066196,0.02225838,0.140012298,40,7190.068966,6.793249495,0.002698632,5.999000167,1
19,30,61387,0.168297814,0.01884737,0.193923963,24,13323.06452,6.727943572,0.000782785,7.664111963,1
20,143,61387,0.351390964,0.038342627,0.24685932,108,9283.9375,21.77766013,0.006611479,2.833238892,1
21,3,61387,0,0,0.126881409,0,279.25,0.018195739,0,0,1
22,75,61387,0.273193976,0.029167017,0.231906157,61,11507.43421,14.24651398,0.003026604,4.817743841,1
23,27,61387,0.103299234,0.010678427,0.123196914,14,7589.821429,3.461832932,0.000523853,0,1
24,97,61387,0.216919069,0.02405455,0.180284557,55,7855.040816,12.53981234,0.002269858,3.285479609,1
25,219,61387,0.450124706,0.047075292,0.247124821,171,8105.309091,29.04750114,0.011721238,3.316992268,1
26,98,61387,0.094176322,0.010140997,0.059109974,24,1784.20202,2.87737017,0.004107852,0,1
27,44,61387,0.226989846,0.024066448,0.223058847,39,13485.31111,9.885303317,0.001031177,4.124484439,1
28,3,61387,0.058565161,0.006054099,0.167074007,3,9674.25,0.630367499,0.000108334,0,1
29,8,61387,0.078086881,0.009417487,0.125328902,6,7523.666667,1.103033166,0.000531352,0,1
30,32,61387,0.183507946,0.019672489,0.250289121,27,17827.72727,9.583550531,0.000610078,12.99350325,1
31,12,61387,0.10828702,0.011194033,0.122896954,10,6530.615385,1.382973871,0.000474472,0,1
32,30,61387,0.147260587,0.017397572,0.19159042,21,12127.70968,6.124307682,0.000423635,1.666481502,1
33,8,61387,0.091101361,0.010762843,0.134391765,7,9143.333333,1.340489998,0.000247556,0,1
34,75,61387,0.152272052,0.016203898,0.164704936,34,7604.171053,9.414168893,0.969595556,0,1
35,156,61387,0.311600578,0.0318892,0.211408128,100,8002.681529,20.46688278,43.60417202,8.643042351,1
36,33,61387,0.194180949,0.021457568,0.234699635,29,16259.70588,9.005505962,0.000612873,14.49275362,1
37,8,61387,0.091101361,0.009417487,0.17959804,7,14991.66667,2.197905128,0.000147089,0,1
38,63,61387,0.229380213,0.022702871,0.183122731,47,10015.6875,10.44184531,0.002327931,3.699630037,1
39,13,61387,0.135652379,0.014022892,0.15453036,13,12602.71429,2.874144784,0.000882962,0,1
40,8,61387,0.078086881,0.008072132,0.105680669,6,4348.444444,0.637518733,0.000387896,0,1
41,13,61387,0.093913186,0.01078684,0.150400007,9,10587.14286,2.4144784,0.000287912,0,1
42,123,61387,0.343608037,0.036244943,0.226520675,98,9227.975806,18.63994592,0.005098567,2.333255558,1
43,152,61387,0.356681684,0.038502998,0.217954602,113,8349.24183,20.80918095,0.008592469,4.173731577,1
44,2,61387,0,0.002330224,0.157332318,0,4347,0.212435655,2.29E-05,0,1
45,66,61387,0.062008901,0.007396259,0.071385661,13,2656.253731,2.899084512,18.31983821,0,1
46,14,61387,0.10080973,0.011463185,0.122253862,10,7054.933333,1.723854825,0.000593627,0,1
47,37,61387,0.139341013,0.015058936,0.120519925,22,6243.842105,3.86502248,0.001230276,0,1
48,24,61387,0.085895569,0.010493772,0.13526745,11,8694.64,3.54085489,0.00063431,5.497251374,1
49,4,61387,0.06984303,0.007219934,0.149720573,4,9553.8,0.778148824,0.000158521,0,1
50,4,61387,0.052382272,0.005414951,0.172871978,3,12706.8,1.034957972,6.73E-05,0,1
51,3,61387,0.01952172,0.002018033,0.142195017,1,3571.75,0.232732782,2.97E-05,0,1
52,32,61387,0.169914765,0.017564723,0.166670083,25,10312.84848,5.543819639,0.001910599,0,1
53,32,61387,0.149524993,0.016159545,0.143229363,22,9584.69697,5.152391347,0.000863183,6.997667444,1
54,149,61387,0.372982377,0.039874752,0.239662282,117,9222.753333,22.5355607,0.008040238,4.856911576,1
55,97,61387,0.299742714,0.03180093,0.215758113,76,9748.540816,15.56260181,0.004383127,6.799320068,1
56,7,61387,0.082823645,0.008561789,0.12845421,6,6997.375,0.911888317,0.000464222,0,1
57,3,61387,0.01952172,0.002018033,0.140036493,1,3568.25,0.232504724,1.31E-06,0,1
58,3,61387,0.03904344,0.004036066,0.167823086,2,9464.75,0.616716622,4.69E-05,0,1
59,50,61387,0.246022884,0.025432303,0.233072997,45,13651.70588,11.34158142,0.002076876,8.198360328,1
60,1,61387,0.027607882,0.00285393,0.186694126,1,4716.5,0.153661953,3.16E-05,0,1
61,9,61387,0.04938648,0.006381581,0.138962101,4,8911.7,1.451700658,7.66E-05,0,1
62,37,61387,0.190010472,0.020951564,0.172826158,30,11038.05263,6.83270346,0.00150905,3.57091844,1
63,105,61387,0.284417563,0.031753408,0.219443883,75,9661.735849,16.68313025,0.005700951,3.499805566,1
64,17,61387,0.119634153,0.015220958,0.186075022,13,15004.83333,4.399670945,0.000365524,4.33188937,1
65,8,61387,0.091101361,0.009417487,0.156129654,7,13326.88889,1.953834626,0.000226955,0,1
66,61,61387,0.247926095,0.026141626,0.207204423,50,11324.70968,11.43760996,0.001821114,4.099590041,1
67,24,61387,0.140556386,0.015337051,0.17260155,18,11214.24,4.566951196,0.000366674,0,1
68,23,61387,0.151424469,0.018124887,0.218591744,19,16746.70833,6.547224213,0.000420913,0,1
69,178,61387,0.25680545,0.026848606,0.17714409,88,6000.061453,17.49545514,0.008750445,0,1
70,40,61387,0.195121951,0.020800811,0.236829297,32,15203.73171,10.15431355,0.000726554,31.96803197,1
71,13,61387,0.083478387,0.008629472,0.107631025,8,6192.928571,1.412344432,0.000282284,0,1
72,1,61387,0.027607882,0.00285393,0.177104786,1,2316,0.075454486,7.83E-05,0,1
73,3,61387,0.058565161,0.006054099,0.141322078,3,2870.5,0.187039812,0.000238425,0,1
74,28,61387,0.174004437,0.017987487,0.166983557,24,11410.72414,5.390483482,0.001263967,22.97702298,1
75,12,61387,0.064972212,0.008955226,0.16847642,6,13670.15385,2.894898026,0.000121861,0,1
76,26,61387,0.127736532,0.013981343,0.133747401,17,8478.703704,3.729149019,0.000756549,16.98301698,1
77,6,61387,0.073785167,0.007627448,0.179726347,5,15113.71429,1.72339871,5.73E-05,0,1
78,17,61387,0.138039408,0.015220958,0.17220341,15,12654.61111,3.710546035,0.000653678,0,1
79,58,61387,0.249068127,0.027323454,0.256249219,49,14239.76271,13.68583437,0.001335745,3.726933915,1
80,31,61387,0.124235467,0.014269648,0.0949277,18,4649,2.423405226,0.001008148,0.99990001,1
81,293,61387,0.434918401,0.045900689,0.208630162,191,5998.894558,28.72996351,0.017823721,4.051178175,1
82,57,61387,0.179432921,0.019608573,0.153309627,35,8198.5,7.746025282,0.002098017,0,1
