,sink_pre_siz,source_suc_siz,Common_Following,Common_Follower,Common_Following_With_Sink_Followers,Common_follower_with_source_followings,Resource_allocation_index,Within_inter_cluster,Label
0,40,84,0,2,7.170731707,3.458823529,0.003490959,0,1
1,207,66,32,12,4.418269231,13.71641791,1.758981491,0,1
2,13,45,0,11,14.28571429,4.347826087,0.026565925,0,1
3,274,2454,0,106,557.0436364,62.39796334,0.019964757,0,1
4,109,2454,0,51,819.7909091,36.73197556,0.001553685,4.666148206,1
5,401,2454,0,85,497,81.38248473,0.004488658,3.04747393,1
6,350,2454,0,85,569.6153846,81.43991853,0.004866506,4.499718768,1
7,22,2454,0,3,553.4347826,5.184928717,5.88E-05,3000,1
8,273,2454,0,73,598.4963504,66.79755601,0.004203339,3.624773452,1
9,631,2454,86,43,92.53481013,23.82158859,0.276180905,0,1
10,117,433,0,23,44.57627119,12.11981567,0.013992456,10.49475262,1
11,40,120,0,11,22.17073171,7.512396694,0.003610454,0,1
12,21,108,14,9,15.27272727,3.082568807,0.365879712,18000,1
13,200,61387,825,91,3266.049751,10.69388154,8.704265007,5.473643055,1
14,125,61387,0,51,5337.619048,10.95556135,0.00334608,0,1
15,169,61387,0,127,8565.452941,23.72005929,0.007984613,3.99984616,1
16,4,61387,0,2,3172.8,0.258421841,0.000140389,0,1
17,1,61387,0,0,2102,0.06848244,0,0,1
18,57,61387,0,40,7190.068966,6.793249495,0.002698632,5.999000167,1
19,30,61387,0,24,13323.06452,6.727943572,0.000782785,7.664111963,1
20,143,61387,0,108,9283.9375,21.77766013,0.006611479,2.833238892,1
21,3,61387,0,0,279.25,0.018195739,0,0,1
22,75,61387,0,61,11507.43421,14.24651398,0.003026604,4.817743841,1
23,27,61387,0,14,7589.821429,3.461832932,0.000523853,0,1
24,97,61387,0,55,7855.040816,12.53981234,0.002269858,3.285479609,1
25,219,61387,0,171,8105.309091,29.04750114,0.011721238,3.316992268,1
26,98,61387,0,24,1784.20202,2.87737017,0.004107852,0,1
27,44,61387,0,39,13485.31111,9.885303317,0.001031177,4.124484439,1
28,3,61387,0,3,9674.25,0.630367499,0.000108334,0,1
29,8,61387,0,6,7523.666667,1.103033166,0.000531352,0,1
30,32,61387,0,27,17827.72727,9.583550531,0.000610078,12.99350325,1
31,12,61387,0,10,6530.615385,1.382973871,0.000474472,0,1
32,30,61387,0,21,12127.70968,6.124307682,0.000423635,1.666481502,1
33,8,61387,0,7,9143.333333,1.340489998,0.000247556,0,1
34,75,61387,182,34,7604.171053,9.414168893,0.969595556,0,1
35,156,61387,3260,100,8002.681529,20.46688278,43.60417202,8.643042351,1
36,33,61387,0,29,16259.70588,9.005505962,0.000612873,14.49275362,1
37,8,61387,0,7,14991.66667,2.197905128,0.000147089,0,1
38,63,61387,0,47,10015.6875,10.44184531,0.002327931,3.699630037,1
39,13,61387,0,13,12602.71429,2.874144784,0.000882962,0,1
40,8,61387,0,6,4348.444444,0.637518733,0.000387896,0,1
41,13,61387,0,9,10587.14286,2.4144784,0.000287912,0,1
42,123,61387,0,98,9227.975806,18.63994592,0.005098567,2.333255558,1
43,152,61387,0,113,8349.24183,20.80918095,0.008592469,4.173731577,1
44,2,61387,0,0,4347,0.212435655,2.29E-05,0,1
45,66,61387,456,13,2656.253731,2.899084512,18.31983821,0,1
46,14,61387,0,10,7054.933333,1.723854825,0.000593627,0,1
47,37,61387,0,22,6243.842105,3.86502248,0.001230276,0,1
48,24,61387,0,11,8694.64,3.54085489,0.00063431,5.497251374,1
49,4,61387,0,4,9553.8,0.778148824,0.000158521,0,1
50,4,61387,0,3,12706.8,1.034957972,6.73E-05,0,1
51,3,61387,0,1,3571.75,0.232732782,2.97E-05,0,1
52,32,61387,0,25,10312.84848,5.543819639,0.001910599,0,1
53,32,61387,0,22,9584.69697,5.152391347,0.000863183,6.997667444,1
54,149,61387,0,117,9222.753333,22.5355607,0.008040238,4.856911576,1
55,97,61387,0,76,9748.540816,15.56260181,0.004383127,6.799320068,1
56,7,61387,0,6,6997.375,0.911888317,0.000464222,0,1
57,3,61387,0,1,3568.25,0.232504724,1.31E-06,0,1
58,3,61387,0,2,9464.75,0.616716622,4.69E-05,0,1
59,50,61387,0,45,13651.70588,11.34158142,0.002076876,8.198360328,1
60,1,61387,0,1,4716.5,0.153661953,3.16E-05,0,1
61,9,61387,0,4,8911.7,1.451700658,7.66E-05,0,1
62,37,61387,0,30,11038.05263,6.83270346,0.00150905,3.57091844,1
63,105,61387,0,75,9661.735849,16.68313025,0.005700951,3.499805566,1
64,17,61387,0,13,15004.83333,4.399670945,0.000365524,4.33188937,1
65,8,61387,0,7,13326.88889,1.953834626,0.000226955,0,1
66,61,61387,0,50,11324.70968,11.43760996,0.001821114,4.099590041,1
67,24,61387,0,18,11214.24,4.566951196,0.000366674,0,1
68,23,61387,0,19,16746.70833,6.547224213,0.000420913,0,1
69,178,61387,0,88,6000.061453,17.49545514,0.008750445,0,1
70,40,61387,0,32,15203.73171,10.15431355,0.000726554,31.96803197,1
71,13,61387,0,8,6192.928571,1.412344432,0.000282284,0,1
72,1,61387,0,1,2316,0.075454486,7.83E-05,0,1
73,3,61387,0,3,2870.5,0.187039812,0.000238425,0,1
74,28,61387,0,24,11410.72414,5.390483482,0.001263967,22.97702298,1
75,12,61387,0,6,13670.15385,2.894898026,0.000121861,0,1
76,26,61387,0,17,8478.703704,3.729149019,0.000756549,16.98301698,1
77,6,61387,0,5,15113.71429,1.72339871,5.73E-05,0,1
78,17,61387,0,15,12654.61111,3.710546035,0.000653678,0,1
79,58,61387,0,49,14239.76271,13.68583437,0.001335745,3.726933915,1
80,31,61387,0,18,4649,2.423405226,0.001008148,0.99990001,1
81,293,61387,0,191,5998.894558,28.72996351,0.017823721,4.051178175,1
82,57,61387,0,35,8198.5,7.746025282,0.002098017,0,1
83,29,61387,0,21,11730.36667,5.732569883,0.000863104,22000,1
84,1,61387,0,0,2102,0.06848244,0,0,1
85,39,61387,0,25,7552.375,4.92107578,0.002317224,2.374703162,1
86,5,61387,0,4,4816.833333,0.470792337,0.000165743,0,1
87,8,61387,0,3,1733.666667,0.254170196,0.000283398,0,1
88,26,61387,0,19,12819.96296,5.638544993,0.000562931,0,1
89,2,61387,0,0,49.66666667,0.002427184,0,0,1
90,10,61387,0,4,4844.818182,0.868133837,0.000557169,0,1
91,643,61387,0,276,3125.47205,32.78823223,0.039779814,2.313926582,1
92,21,61387,0,17,19210.09091,6.884439956,0.000260333,17.98201798,1
93,12,61387,0,8,10233.46154,2.167117352,0.00054012,0,1
94,20,61387,0,14,6408.904762,2.192399166,0.001748558,0,1
95,156,61387,0,126,9206.401274,23.54539975,0.008406697,2.852857269,1
96,64,61387,0,39,10393.26154,11.00478921,0.001284825,4.624421947,1
97,54,61387,0,49,15364.29091,13.76549163,0.001284176,11.74706323,1
98,190,61387,0,86,4133.926702,12.86212289,0.009866776,3.99977779,1
99,40,61387,0,37,15553.43902,10.38787711,0.001006521,6.598680264,1
100,13,61387,0,8,9734.357143,2.219994136,0.000214786,0,1
101,16,61387,0,13,6923.058824,1.917182511,0.000506378,0,1
102,52,61387,0,39,10902.15094,9.412491041,0.002516533,11.99600133,1
103,58,61387,0,44,10172.57627,9.776861927,0.002849138,6.998833528,1
104,19,61387,0,13,6263.85,2.040740861,0.002251865,0,1
105,1,61387,0,0,7249.5,0.236186225,0,0,1
106,71,61387,0,48,8477.625,9.943132208,0.00276487,3.636033088,1
107,122,61387,0,97,8844.97561,17.72222584,0.00719969,4.210304721,1
108,12,61387,0,10,11362.07692,2.406121718,0.000334172,0,1
109,23,61387,0,20,14515.04167,5.674740992,0.000535798,19.98001998,1
110,23,61387,0,22,18302.54167,7.155486414,0.00033258,0,1
111,2,61387,0,2,1284,0.06274842,0.000257081,0,1
112,10,61387,0,7,9719.636364,1.741643318,0.000747858,0,1
113,48,61387,0,39,12691.02041,10.12999283,0.001285362,9.247688078,1
114,94,61387,0,14,1962.578947,3.037157099,0.001794682,0,1
115,3,61387,0,0,13.5,0.000879651,0,0,1
116,26,61387,0,21,11865.96296,5.218951587,0.000716427,0,1
117,52,61387,0,41,11646.50943,10.05514107,0.001629423,5.284959292,1
118,27,61387,0,22,10617.42857,4.842770574,0.000924711,10.49475262,1
119,19,61387,0,17,9328.8,3.039291067,0.000758452,4.665111629,1
120,46,61387,0,41,8204.851064,6.281814035,0.001681762,0,1
121,46,652,0,1,36.08510638,2.597243492,0.003197312,3000,1
122,6,192,0,4,27.71428571,1.005181347,0.011151463,4000,1
123,43,1988,0,7,230.0454545,5.088989442,0.000122659,0,1
124,290,1988,0,39,163.5841924,23.93313223,0.013939281,0.374990625,1
125,14,1988,0,1,61.26666667,0.462041227,0.006587153,1.998001998,1
126,51,1988,45,11,183.5,4.797385621,0.086304859,4.099590041,1
127,2,5945,0,1,766.3333333,0.386646485,1.31E-06,0,1
128,1,5945,0,0,203,0.068281197,0,0,1
129,107,5945,0,19,463.4074074,8.417087117,0.000547923,0,1
130,4,5945,0,2,464.6,0.390682812,0.00052543,0,1
131,8,5945,0,0,91.22222222,0.138076017,0,0,1
132,16,5945,0,7,660.1764706,1.887487386,0.000142827,0,1
133,5,5945,0,2,257.3333333,0.259670367,0.000302616,0,1
134,13,5945,0,4,534.1428571,1.257652203,7.13E-05,0,1
135,2,5945,0,2,735.6666667,0.371173898,2.53E-05,0,1
136,5,303,0,0,4.666666667,0.092105263,0,0,1
137,3,68848,0,0,2178,0.126537786,0,0,1
138,58,68848,0,45,17468.11864,14.96926608,0.001205184,5.713469504,1
139,17,68848,0,13,16180.11111,4.230155848,0.000241788,0,1
140,11,68848,0,8,11551.16667,2.013304478,0.000306382,0,1
141,147,68848,0,106,10216.10135,21.96085637,0.007414457,2.114225308,1
142,60,68848,0,47,15965.65574,14.14552136,0.001828366,7.165472421,1
143,57,68848,0,41,13584.46552,11.44386992,0.001789081,4.249468816,1
144,32,68848,0,25,15156.15152,7.264491859,0.00070305,3.99920016,1
145,70,68848,0,52,14245.66197,14.69072899,0.005345695,4.599540046,1
146,4,68848,0,2,14461.6,1.050240381,0.000153568,0,1
147,47,68848,0,38,16438.39583,11.46048599,0.001238818,8.497875531,1
148,24,68848,0,20,20534.28,7.456273875,0.000475062,18.98101898,1
149,40,68848,0,31,17059.4878,10.15902918,0.000540938,3.428081703,1
150,24,68848,0,14,14019.8,5.09077837,0.003097543,0,1
151,25,68848,0,20,15798.80769,5.966230446,0.00128227,19.98001998,1
152,113,68848,0,88,10129.73684,16.77279263,0.008010418,4.235044997,1
153,114,68848,0,84,10046.11304,16.78024372,0.005810347,2.825964089,1
154,38,68848,0,23,9648.230769,5.465308138,0.002097607,2.83286119,1
155,39,68848,0,32,18213.925,10.58195471,0.000770991,14.99250375,1
156,16,68848,0,10,6944.882353,1.714810673,0.000510497,0,1
157,51,68848,0,43,14900.67308,11.25412134,0.002146145,2.142704093,1
158,35,68848,0,26,14074.97222,7.359569493,0.001067477,5.498625344,1
159,8,68848,0,5,10521.44444,1.375372191,0.00026457,0,1
160,58,68848,0,31,3641.40678,3.120495577,0.005217486,0,1
161,32,68848,0,26,20587.39394,9.867739546,0.00046801,25.97402597,1
162,19,68848,0,10,13000.5,3.77652544,0.000158949,0,1
163,90,68848,0,44,7766.604396,10.26537786,0.002716447,0,1
164,35,68848,0,19,7215.555556,3.772894305,0.001458803,3.399320136,1
165,23,68848,0,20,10779.58333,3.757643539,0.000528815,0,1
166,11,68848,0,8,13524,2.357158419,0.000264,0,1
167,344,68848,0,198,5979.368116,29.96241049,0.025672494,2.338671957,1
168,32,68848,0,13,6112.757576,2.929904574,0.001189889,0,1
169,18,68848,0,11,16798,4.635680983,0.000298526,0,1
170,40,68848,0,32,16203.19512,9.649101657,0.001361166,9.996667777,1
171,53,68848,0,38,9486.5,7.440500225,0.003616951,3.444061771,1
172,72,68848,0,49,11064.76712,11.73187701,0.002839248,5.499312586,1
173,5,68848,0,1,8968,0.781536406,3.01E-05,0,1
174,49,68848,0,29,13628.1,9.89709364,0.001225141,3.832694551,1
175,57,68848,0,40,7460.827586,6.285174803,0.002795439,2.153680486,1
176,360,68848,0,56,2143.188366,11.23750527,0.01411286,0,1
177,31,68848,384,16,4505.90625,2.094278784,5.660141304,3.849951876,1
178,26,68848,0,15,10333.92593,4.052578832,0.001139571,7.496251874,1
179,164,68848,928,80,6603.139394,15.82474691,7.845329821,0,1
180,79,68848,0,58,11159.95,12.96745051,0.004986793,8.99850025,1
181,30,68848,0,24,17869.45161,8.045912068,0.000420404,3.799240152,1
182,92,68848,0,48,6930.268817,9.361283388,0.003419642,0,1
183,163,68848,0,119,9601.97561,22.87214048,0.007622703,2.485643267,1
184,19,68848,0,15,14458.2,4.199973856,0.000529906,0,1
185,23,68848,0,18,20853.75,7.269386629,0.000372417,0,1
186,46,68848,0,27,10660.08511,7.277142733,0.002096484,5.748562859,1
187,56,68848,0,42,9203.666667,7.61970399,0.003064332,3.299670033,1
188,110,68848,0,80,10580.00901,17.05734288,0.006186416,4.999642883,1
189,4,68848,0,2,1891.8,0.137387616,0.000518938,0,1
190,251,68848,0,168,8052.968254,29.47534459,0.01601188,3.702602632,1
191,45,68848,0,34,12206.6087,8.155586864,0.002388355,6.198760248,1
192,95,68848,0,80,14822.32292,20.6675914,0.002137197,2.192223376,1
193,56,68848,0,35,13139.40351,10.87809554,0.001124764,5.99880024,1
194,21,68848,0,15,18474,5.903179422,0.000819344,0,1
195,27,68848,0,11,3527.607143,1.434632311,0.000725817,0,1
196,64,68848,0,44,10597.50769,10.00505454,0.003605925,4.999375078,1
197,56,68848,0,48,16110.22807,13.33763744,0.002314831,10.99725069,1
198,150,68848,0,118,10767.02649,23.61430086,0.01129081,4.304160689,1
199,37,68848,0,26,15718.65789,8.67563799,0.001401727,4.399120176,1
200,37,68848,0,24,19318.68421,10.66260948,0.001123084,25000,1
201,8,68848,0,7,17255.66667,2.255675464,0.000154961,0,1
202,9,68848,0,5,12255.9,1.780113001,0.000251562,0,1
203,29,68848,0,22,11987.36667,5.223329315,0.001362328,2.666222296,1
204,50,68848,0,35,10725.58824,7.94499557,0.001743561,6.398720256,1
205,160,68848,0,115,9795.503106,22.9063022,0.008980044,3.370245546,1
206,63,68848,0,37,8357.3125,7.768711238,0.005199411,2.899710029,1
207,132,68848,0,61,6782.954887,13.10306613,0.005971495,2.047521547,1
208,7,68848,0,4,3862.75,0.448837311,4.24E-05,0,1
209,31,68848,0,21,12882,5.987363651,0.000493518,0,1
210,44,68848,0,36,16010.88889,10.46478525,0.001493156,4.142265391,1
211,29,68848,0,19,11512.06667,5.01622391,0.001817904,5.664778407,1
212,150,68848,0,111,10151.4106,22.26412875,0.008761717,2.999892861,1
213,63,68848,0,44,12185.42188,11.32720882,0.001776612,2.666444463,1
214,7,68848,0,5,7054.25,0.819677846,0.000215811,0,1
215,121,68848,0,73,8774.860656,15.54899853,0.008659798,2.899855007,1
216,51,68848,0,29,9950.769231,7.515577568,0.00345314,3.124609424,1
217,59,68848,0,38,8534.016667,7.437159581,0.002764579,0,1
218,5,68848,0,3,7758.5,0.676131825,0.000112776,0,1
219,7,68848,0,2,8717.375,1.01292684,0.000199135,0,1
220,2,68848,0,1,3667.666667,0.159813505,0.000151263,0,1
221,129,68848,0,94,13042.21538,24.62618193,0.00367872,4.444197545,1
222,56,68848,0,26,6844.087719,5.666211564,0.004831525,0,1
223,6,68848,0,3,16996.85714,1.728100626,3.66E-05,0,1
224,36,68848,0,28,19633.18919,10.55103197,0.000472411,6.248437891,1
225,9,68848,0,4,1605.6,0.233206002,0.001126408,0,1
226,32,68848,0,28,16738.81818,8.023079493,0.001296207,26.97302697,1
227,24,68848,0,16,16198.36,5.881842874,0.000359543,15.98401598,1
228,85,68848,0,47,10648.93023,13.3016892,0.001815185,5.99914298,1
229,3,68848,0,2,11694.75,0.67944342,5.06E-05,0,1
230,8,68848,0,8,11974.44444,1.565309591,0.000187864,0,1
231,73,68848,0,57,12484.94595,13.41901843,0.003447994,3.999666694,1
232,6,68848,0,3,12472.28571,1.26807942,0.000105628,0,1
233,178,68848,0,67,5134.592179,13.34938779,0.00695471,0,1
234,114,68848,0,92,13063.07826,21.81954712,0.005253198,7.817471139,1
235,3,68848,0,1,10874.75,0.631802931,1.88E-05,0,1
236,10,68848,0,7,5458.909091,0.87216953,0.000299883,0,1
237,74,68848,0,54,12120.21333,13.20303853,0.00379794,12.99675081,1
238,32,68848,0,17,10658.78788,5.108861421,0.001536426,3.499125219,1
239,37,68848,0,16,4886.789474,2.697177882,0.000566523,0,1
240,116,68848,0,79,10812.77778,18.37492193,0.005803722,7.399260074,1
241,24,68848,0,18,17094.32,6.207178027,0.001108689,0,1
242,30,68848,0,18,13992.70968,6.300367471,0.000548195,7.996001999,1
243,36,68848,0,32,19618.59459,10.54318872,0.000768195,15.49225387,1
244,18,68848,0,12,18016.21053,4.971865968,0.000396048,5.997001499,1
245,22,68848,0,15,18637.95652,6.226277796,0.001259666,4.665111629,1
246,32,68848,0,28,11404.78788,5.466426528,0.001389585,1.416548621,1
247,38,68848,0,25,10661.82051,6.039463173,0.002985796,3.999333444,1
248,6,68848,0,3,8018,0.815204288,0.000172205,0,1
249,136,68848,0,103,11386.48175,22.65752589,0.004725401,2.851746232,1
250,44,68848,0,38,17467.75556,11.41699952,0.001395731,18.99050475,1
251,49,68848,0,36,9121.78,6.624482563,0.002727332,1.571316335,1
252,8,68848,0,4,12380.66667,1.618411306,0.000180962,0,1
253,23,68848,0,18,18357.125,6.399090764,0.000455229,16.98301698,1
254,3,68848,0,1,11529,0.66981365,3.74E-05,0,1
255,206,68848,0,151,9284.985507,27.91604816,0.015069384,3.617540661,1
256,61,68848,0,34,7814.112903,7.036776133,0.005310678,2.599740026,1
257,20,68848,0,9,7336.47619,2.237737658,0.000951258,1.249687578,1
258,112,68848,0,71,9651.19469,15.84024459,0.004040984,1.807622784,1
259,42,68848,0,31,12868.2093,8.036906854,0.001917647,2.87464067,1
260,31,68848,0,21,10574.03125,4.914653808,0.001750337,0,1
261,81,68848,0,55,12989.67073,15.47085651,0.003206848,5.332740807,1
262,139,68848,0,102,11411.6,23.20475243,0.005039969,4.526077575,1
263,297,68848,5321,193,7216.255034,31.23420819,64.82015708,7.435114818,1
264,12,68848,0,6,10627.15385,2.006608665,0.000471958,0,1
265,13,68848,0,7,3928.071429,0.798747985,0.001958552,0,1
266,104,68848,0,80,13678.3619,20.8605499,0.002653537,3.705664373,1
267,40,68848,0,34,17727.73171,10.55697251,0.000816083,7.498125469,1
268,142,68848,171,35,1872.902098,3.890034714,1.489372144,0,1
269,25,68848,0,17,13320.26923,5.030240091,0.002029986,2.799440112,1
270,17,68848,0,13,13474.05556,3.522680068,0.000470756,13000,1
271,93,68848,0,70,11082.46809,15.13096777,0.005015615,2.599870006,1
272,4,68848,0,1,15463.2,1.122979273,3.74E-05,0,1
273,242,68848,0,172,8191.292181,28.9108629,0.017474781,2.833274307,1
274,60,68848,0,47,14063.09836,12.45986144,0.00343157,2.922852088,1
275,25,68848,0,19,9911.807692,3.743075426,0.001424266,3.99900025,1
276,27,68848,0,21,15741.89286,6.402024721,0.001012518,0,1
277,30,68848,0,19,6005.193548,2.703902744,0.001638699,0.727206618,1
278,56,68848,0,43,16011.87719,13.25621287,0.001940487,5.284959292,1
279,43,68848,0,32,17391.11364,11.11430812,0.000942919,15.992004,1
280,196,68848,1426,109,7233.883249,20.69855771,12.20928547,5.230412042,1
281,132,68848,0,109,11764.39098,22.72602362,0.006760728,3.269105034,1
282,12,68848,0,8,13433.15385,2.536434807,0.000266002,0,1
283,43,68848,0,32,16995.47727,10.86146495,0.000881622,4.499250125,1
284,24,68848,0,17,9764.72,3.545701463,0.001146006,0,1
285,78,68848,0,47,7307.987342,8.385466746,0.0067507,1.333269844,1
286,56,68848,0,39,10960.08772,9.073842757,0.003384278,8.747813047,1
287,126,68848,0,91,11190,20.64125841,0.005649956,4.277540137,1
288,181,68848,0,90,6598.142857,17.4419672,0.013373092,2.133262225,1
289,135,68848,0,99,10248.43382,20.24411393,0.006075927,3.636198355,1
290,43,68848,0,29,13110.18182,8.378451394,0.001050037,6.498375406,1
291,21,68848,0,13,12277.77273,3.92323781,0.000909956,0,1
292,92,68848,0,40,8658.268817,11.69543494,0.003762453,0,1
293,106,1257,82,37,110.8971963,9.432432432,0.471144473,2.666567905,1
294,6,1257,0,0,77.85714286,0.433227345,0,0,1
295,215,1257,9,6,52.31018519,8.981717011,0.019375355,0,1
296,88,1257,0,2,35.50561798,2.511923688,0.00032697,0,1
297,34,307,0,4,29.45714286,3.347402597,0.000701953,0,1
298,1,205,0,0,16,0.155339806,0,0,1
299,80,813,0,14,170.5925926,16.97542998,0.00079106,0,1
300,291,380,0,16,73.67465753,56.46456693,0.001695545,0,1
301,41,369,0,1,50.16666667,5.694594595,3.92E-05,0,1
302,55,271,0,13,28.85714286,5.941176471,0.008995989,5.497251374,1
303,222,206,0,1,14.17488789,15.2705314,0.004498666,1.998001998,1
304,5,206,0,0,7.166666667,0.207729469,0,0,1
305,630,420,99,129,46.08399366,69.07125891,0.567069027,2.854107206,1
306,16,51,0,2,4.058823529,1.326923077,0.009222349,0.999000999,1
307,33,1952,0,1,57.76470588,1.00563236,0.000146071,0,1
308,183,1952,0,0,27.89673913,2.628264209,0.006192226,0,1
309,1,1952,0,0,29.5,0.030209933,0,0,1
310,221,169,5,3,35.37387387,46.19411765,0.032174883,16000,1
311,2,971,0,0,32,0.098765432,0,0,1
312,64,971,0,6,71.03076923,4.75,0.000719742,0,1
313,81,113,0,0,3.902439024,2.807017544,0.001175088,1000,1
314,74,3946,0,68,2492.8,47.36762098,0.012638855,5.99940006,1
315,184,3946,0,86,1547.308108,72.52394223,0.014566867,4.437222674,1
