,sink_pre_siz,source_suc_siz,Common_Following,Common_Follower,Common_Following_With_Sink_Followers,Common_follower_with_source_followings,Jaccard_coefficient,Adamic_adar_index,Cn_soundarajan_hopcroft,Ra_index_soundarajan_hopcroft,Label
0,40,84,0,2,7.170731707,3.458823529,0.024793388,0.392674529,3,0,1
1,207,66,32,12,4.418269231,13.71641791,0.036363636,11.06490354,38,0,1
2,13,45,0,11,14.28571429,4.347826087,0.025700935,1.68750131,11,0,1
3,274,2454,0,106,557.0436364,62.39796334,0.041189931,11.4413099,108,0,1
4,109,2454,0,51,819.7909091,36.73197556,0.020286396,4.738590966,93,0.001218917,1
5,401,2454,0,85,497,81.38248473,0.030663781,8.26832138,149,0.002577362,1
6,350,2454,0,85,569.6153846,81.43991853,0.032376748,8.500089152,160,0.002709055,1
7,22,2454,0,3,553.4347826,5.184928717,0.001212121,0.275651567,6,5.88E-05,1
8,273,2454,0,73,598.4963504,66.79755601,0.02787194,7.203164047,132,0.002327474,1
9,631,2454,86,43,92.53481013,23.82158859,0.025967413,15.39945431,102,0,1
10,117,433,0,23,44.57627119,12.11981567,0.039115646,2.986747574,44,0.013637669,1
11,40,120,0,11,22.17073171,7.512396694,0.036789298,1.235016481,11,0,1
12,21,108,14,9,15.27272727,3.082568807,0.105882353,4.363750649,36,0.365879712,1
13,200,61387,825,91,3266.049751,10.69388154,0.013718274,172.2317558,1589,6.524561189,1
14,125,61387,0,51,5337.619048,10.95556135,0.000862027,5.26874911,53,0,1
15,169,61387,0,127,8565.452941,23.72005929,0.002115541,12.81197485,234,0.00614586,1
16,4,61387,0,2,3172.8,0.258421841,3.26E-05,0.18864164,2,0,1
17,1,61387,0,0,2102,0.06848244,0,0,0,0,1
18,57,61387,0,40,7190.068966,6.793249495,0.00068375,4.221210128,78,0.002193571,1
19,30,61387,0,24,13323.06452,6.727943572,0.000423349,2.440099441,49,0.00068117,1
20,143,61387,0,108,9283.9375,21.77766013,0.001871775,11.15014431,200,0.00434559,1
21,3,61387,0,0,279.25,0.018195739,0,0,0,0,1
22,75,61387,0,61,11507.43421,14.24651398,0.001041972,6.130570535,117,0.002137156,1
23,27,61387,0,14,7589.821429,3.461832932,0.000244208,1.414672018,15,0,1
24,97,61387,0,55,7855.040816,12.53981234,0.000976435,5.628611476,106,0.00193609,1
25,219,61387,0,171,8105.309091,29.04750114,0.00288025,17.65665334,313,0.007845783,1
26,98,61387,0,24,1784.20202,2.87737017,0.00040661,2.640469537,25,0,1
27,44,61387,0,39,13485.31111,9.885303317,0.0006676,3.787458957,74,0.000886541,1
28,3,61387,0,3,9674.25,0.630367499,4.89E-05,0.285530397,3,0,1
29,8,61387,0,6,7523.666667,1.103033166,0.000113984,0.709594357,7,0,1
30,32,61387,0,27,17827.72727,9.583550531,0.000455915,2.563390386,54,0.000456197,1
31,12,61387,0,10,6530.615385,1.382973871,0.000162832,0.969778707,10,0,1
32,30,61387,0,21,12127.70968,6.124307682,0.000390771,2.121550749,39,0.000317429,1
33,8,61387,0,7,9143.333333,1.340489998,0.00013027,0.76621632,8,0,1
34,75,61387,182,34,7604.171053,9.414168893,0.002971816,30.18215675,184,0,1
35,156,61387,3260,100,8002.681529,20.46688278,0.048767025,704.2424688,6199,30.4675791,1
36,33,61387,0,29,16259.70588,9.005505962,0.000504779,2.824694118,60,0.000579508,1
37,8,61387,0,7,14991.66667,2.197905128,0.000113984,0.641283188,7,0,1
38,63,61387,0,47,10015.6875,10.44184531,0.000765136,4.549085989,84,0.001651709,1
39,13,61387,0,13,12602.71429,2.874144784,0.000211688,1.269312085,13,0,1
40,8,61387,0,6,4348.444444,0.637518733,9.77E-05,0.609832327,6,0,1
41,13,61387,0,9,10587.14286,2.4144784,0.000162829,0.943286805,10,0,1
42,123,61387,0,98,9227.975806,18.63994592,0.001627763,9.738947585,170,0.00249133,1
43,152,61387,0,113,8349.24183,20.80918095,0.001936723,11.94448389,215,0.005853654,1
44,2,61387,0,0,4347,0.212435655,1.63E-05,0.09360188,1,0,1
45,66,61387,456,13,2656.253731,2.899084512,0.00687451,128.1436745,456,0,1
46,14,61387,0,10,7054.933333,1.723854825,0.000179112,1.06402571,11,0,1
47,37,61387,0,22,6243.842105,3.86502248,0.00037444,2.133170187,23,0,1
48,24,61387,0,11,8694.64,3.54085489,0.000211651,1.228907986,24,0.000228441,1
49,4,61387,0,4,9553.8,0.778148824,6.51E-05,0.38892713,4,0,1
50,4,61387,0,3,12706.8,1.034957972,4.89E-05,0.275205965,3,0,1
